State Name,pH,Conductivity,BOD (mg/L),Nitrate N (mg/L),Faecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Total Dissolved Solids (mg/L),Fluoride (mg/L)
BH,7.9,524.9666667,#DIV/0!,2.575,23,12.5,266,0.2
BH,7.3,326.4333333,#DIV/0!,1.14,23,23,326,0.2
BH,7.1,962.3666667,#DIV/0!,2.59,#DIV/0!,#DIV/0!,1002,0.2
BH,7.8,631.9333333,#DIV/0!,5.34,23,23,648,0.2
BH,8.2,210.7333333,#DIV/0!,0.3,12,23,202,0.2
BH,8.7,322.9,#DIV/0!,5.12,#DIV/0!,#DIV/0!,322,0.2
BH,7,749,#DIV/0!,0.75,23,23,732,0.2
BH,7.2,547.7333333,#DIV/0!,1.67,#DIV/0!,#DIV/0!,550,0.2
BH,7.8,1389.266667,#DIV/0!,5.69,5,9,1476,0.2
BH,7.9,163.3,#DIV/0!,0.3,23,23,160,0.2
BH,7.9,492.6333333,#DIV/0!,0.88,7,9,482,0.2
CH,7.2,508.4,1.1,6.65,2,37,454,0.5
CH,7.3,538.4333333,1.1,3.55,2,56,497,0.2
CH,7.4,604.1333333,1.25,3,3.5,49,500,0.3
CH,7.3,354.1,1,5.65,2,37.5,343,0.2
CH,7.1,477.3666667,1.25,3.25,2,25,425,0.45
CH,7,566.3333333,1,3.6,2,50.5,442,0.25
CH,7.3,416.7666667,1,2.35,2,28.5,358,0.9
CT,7.3,1537.1,1,1.05,2,2,164,#DIV/0!
CT,7.2,16987.06667,1,0.74,2,2,270.5,#DIV/0!
CT,7.2,3267.733333,1,0.645,2,2,249,#DIV/0!
CT,7.5,254.5,#DIV/0!,0.3,#DIV/0!,#DIV/0!,310,#DIV/0!
CT,7.4,234.4666667,#DIV/0!,0.3,2,2,248,#DIV/0!
CT,7.5,173.1666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,191,#DIV/0!
CT,7.4,174.8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,191.5,#DIV/0!
CT,7.5,7.5,6,0.6,#DIV/0!,#DIV/0!,150,#DIV/0!
DD,7.2,295.7333333,1,3.72,22.5,50,286.5,0.2
DD,7.1,552.0333333,1,3.785,2,6,580,0.35
DD,7.3,391.1,1,0.32,2,7,387,0.85
DD,7.1,817.0333333,1,1.725,2,7,806.5,0.35
DD,7.3,499.7666667,1,1.985,2,6.5,480,0.6
DD,7.3,269.1,1,1.075,2,6,300,0.5
DD,7.4,299.8,1,3.6,10,24.5,289,0.2
DD,6.9,328.3,1,2.395,8.5,11,329.5,0.35
DD,7.2,1906.4,1,4.915,2,4,1924,0.75
DD,7.7,1397.566667,1,1.76,2,7,1304.5,0.4
DD,7.3,2074.766667,1,2.05,2,9,2159.5,0.3
DL,7.4,7.4,#DIV/0!,0.3,#DIV/0!,#DIV/0!,669,#DIV/0!
DL,7.5,7.5,#DIV/0!,0.48,#DIV/0!,#DIV/0!,675,#DIV/0!
DL,7.1,7.1,#DIV/0!,0.76,#DIV/0!,#DIV/0!,461,#DIV/0!
DL,7.4,7.4,#DIV/0!,0.3,#DIV/0!,#DIV/0!,346,#DIV/0!
DL,6.7,6.7,#DIV/0!,0.47,#DIV/0!,#DIV/0!,288,#DIV/0!
DL,7.2,7.2,#DIV/0!,0.3,#DIV/0!,#DIV/0!,559,#DIV/0!
DL,6.7,6.7,#DIV/0!,0.3,#DIV/0!,#DIV/0!,577,#DIV/0!
DL,7.3,7.3,#DIV/0!,0.76,#DIV/0!,#DIV/0!,590,#DIV/0!
DL,7,7,#DIV/0!,0.4,#DIV/0!,#DIV/0!,679,#DIV/0!
DL,6.9,6.9,#DIV/0!,0.3,#DIV/0!,#DIV/0!,496,#DIV/0!
DL,7,7,#DIV/0!,0.3,#DIV/0!,#DIV/0!,383,#DIV/0!
DL,7.2,7.2,#DIV/0!,0.86,#DIV/0!,#DIV/0!,375,#DIV/0!
DL,6.9,6.9,#DIV/0!,0.57,#DIV/0!,#DIV/0!,441,#DIV/0!
DL,7.2,7.2,#DIV/0!,0.5,#DIV/0!,#DIV/0!,536,#DIV/0!
DL,6.9,6.9,#DIV/0!,0.3,#DIV/0!,#DIV/0!,358,#DIV/0!
DL,6.9,6.9,#DIV/0!,0.36,#DIV/0!,#DIV/0!,807,#DIV/0!
DL,7.3,7.3,#DIV/0!,0.5,#DIV/0!,#DIV/0!,698,#DIV/0!
DL,7.3,7.3,#DIV/0!,0.3,#DIV/0!,#DIV/0!,480,#DIV/0!
DL,7,7,#DIV/0!,0.69,#DIV/0!,#DIV/0!,768,#DIV/0!
DL,6.9,6.9,#DIV/0!,0.56,#DIV/0!,#DIV/0!,450,#DIV/0!
DL,7.3,7.3,#DIV/0!,1.01,#DIV/0!,#DIV/0!,838,#DIV/0!
DL,7.2,1627.066667,#DIV/0!,1.15,2,2,1424,0.4
DL,7.1,7.1,#DIV/0!,0.3,#DIV/0!,#DIV/0!,1080,#DIV/0!
DL,7,7,#DIV/0!,0.3,#DIV/0!,#DIV/0!,394,#DIV/0!
DL,7.3,7.3,#DIV/0!,0.3,#DIV/0!,#DIV/0!,1115,#DIV/0!
DL,7.4,7.4,#DIV/0!,1.5,#DIV/0!,#DIV/0!,1110,#DIV/0!
DL,7.1,7.1,#DIV/0!,0.3,#DIV/0!,#DIV/0!,1970,#DIV/0!
DL,7.7,7.7,#DIV/0!,0.34,#DIV/0!,#DIV/0!,312,#DIV/0!
DL,7,7,#DIV/0!,0.3,#DIV/0!,#DIV/0!,485,#DIV/0!
DL,7.5,7.5,#DIV/0!,0.57,#DIV/0!,#DIV/0!,2850,#DIV/0!
DL,7,7,#DIV/0!,1.03,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
DL,7.2,7.2,#DIV/0!,0.36,#DIV/0!,#DIV/0!,397,#DIV/0!
DL,7.3,7.3,#DIV/0!,1.5,#DIV/0!,#DIV/0!,367,#DIV/0!
DL,7.4,7.4,#DIV/0!,0.3,#DIV/0!,#DIV/0!,500,#DIV/0!
DL,6.3,6.3,#DIV/0!,0.68,#DIV/0!,#DIV/0!,337,#DIV/0!
DL,7.3,7.3,#DIV/0!,0.99,#DIV/0!,#DIV/0!,1930,#DIV/0!
DL,7.4,7.4,#DIV/0!,0.53,#DIV/0!,#DIV/0!,896,#DIV/0!
DL,6.9,6.9,#DIV/0!,0.49,#DIV/0!,#DIV/0!,689,#DIV/0!
DL,7.1,7.1,#DIV/0!,0.87,#DIV/0!,#DIV/0!,2870,#DIV/0!
DL,7.2,7.2,#DIV/0!,0.36,#DIV/0!,#DIV/0!,642,#DIV/0!
DL,7,7,#DIV/0!,0.3,#DIV/0!,#DIV/0!,540,#DIV/0!
DL,7.1,7.1,#DIV/0!,0.98,#DIV/0!,#DIV/0!,361,#DIV/0!
DL,7.7,7.7,#DIV/0!,0.41,#DIV/0!,#DIV/0!,311,#DIV/0!
DL,7.2,7.2,#DIV/0!,0.3,#DIV/0!,#DIV/0!,409,#DIV/0!
DL,6.8,6.8,#DIV/0!,0.3,#DIV/0!,#DIV/0!,730,#DIV/0!
GA,7.1,81.03333333,1.8,0.5,2,2,77,0.2
GA,7.9,69.96666667,1.9,0.5,2,2,64,0.2
GA,5,62.33333333,1.2,0.3,2,2,54,0.2
GA,5.6,83.2,4.2,0.3,2,2,77,0.2
GA,6.9,211.6333333,1.7,0.3,2,5,163,0.4
GA,7.1,174.3666667,2,0.3,2,2,144,0.4
GA,6.3,254.1,1,2.5,2,2,234,0.2
GJ,7.7,1788.566667,1,0.39,2,2,1378,0.45
GJ,8.4,2144.466667,1.65,0.3,2,2,1956,0.5
GJ,8.3,796.4333333,1,0.3,2,2,758,0.5
GJ,8.7,815.2333333,1,1.035,2,2,785,0.65
GJ,7.2,806.4,1.4,1.1,#DIV/0!,#DIV/0!,1032,0.2
GJ,8.6,1878.2,1,0.3,2,2,1825,0.9
GJ,8.2,1552.066667,1,1.5,2,2,1390,1
GJ,8.3,614.1,1,0.325,2,2,595,0.9
GJ,8.3,1581.433333,1.8,0.35,2,2,1441,0.4
GJ,8.5,889.8333333,1.55,0.55,2,2,809,0.3
GJ,7.9,1989.3,1,0.6,2,2,1696,0.95
GJ,7.8,5492.933333,2,0.45,2,2,5015,0.6
GJ,7.1,1445.033333,1,0.5,2,2,1276,0.7
GJ,8.5,3691.166667,1,0.45,2,2,3191,0.75
GJ,8.2,3837.066667,1,0.3,2,2,3241,0.45
GJ,7.4,970.1333333,1.4,1.29,2,2,1210,0.25
GJ,7.9,2548.966667,1.85,0.5,2,2,2325,0.5
GJ,8.3,1330.1,1.5,0.35,2,2,1212,0.35
GJ,8,1450.666667,1,0.555,2,2,1097,0.4
GJ,8.1,1397.033333,1,0.3,2,2,1229,0.75
GJ,8.5,1526.833333,1,0.32,2,2,1108,0.75
GJ,8.3,1474.766667,1,0.345,2,2,1259,0.65
GJ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
GJ,8.2,2434.733333,1,0.75,2,2,2142,1.35
GJ,7.3,2247.766667,1.45,0.3,2,2,2061,0.4
GJ,8.2,1857.066667,1.15,0.34,2,2,1444,0.8
GJ,8.5,1610.833333,1,0.605,2,2,1272,0.9
GJ,8.5,6814.833333,2.1,1.21,2,2,7100,1.5
GJ,7.4,1019.8,1.4,1.3,#DIV/0!,#DIV/0!,1088,0.3
GJ,7.7,606.2333333,1,0.35,2,2,496,0.2
GJ,7.7,1396.566667,1,0.3,2,2,1140,0.8
GJ,8.1,3415.7,1,0.3,2,2,3325,0.9
GJ,7.6,2243.866667,1.05,0.315,2,2,1873,0.25
GJ,8.4,1417.8,1.85,0.4,2,2,1292,0.45
GJ,7.8,1310.6,1,0.4,2,2,1125,0.6
GJ,7.8,2118.933333,1.25,1.34,2,2,2429,0.5
GJ,7.4,3485.8,1,0.3,2,2,3008,0.8
GJ,8.1,2089.7,1,0.435,2,2,2081,0.85
GJ,8,1821,1,1.16,2,2,1608,0.85
GJ,8.2,1689.4,2.8,0.3,2,2,1538,0.6
GJ,8.1,2611.7,1,0.5,2,2,2172,0.65
